workload	timestamp	pit
13000	132950	16399.125
14000	133000	4872.385
17000	133050	19665.6
15000	133100	4294.8335
15000	133150	4794
16000	133200	19215.908
18000	133250	6109
20000	133300	5982.3
10000	133350	4535
15000	133400	5809.1816
19000	133450	6046.5
18000	133500	7110.5
16000	133550	3383
13000	133600	11752.917
18000	133650	10242
13000	133700	20366.428
14000	133750	6251.273
11000	133800	44009.8
19000	133850	11748.875
12000	133900	13741.462
14000	133950	8348.667
14000	134000	9532.857
13000	134050	6823.1113
20000	134100	9504
11000	134150	11609.117
20000	134200	4270.5835
14000	134250	11369.833
16000	134300	8566.444
12000	134350	4107.8335
16000	134400	22064.5
15000	134450	6712
17000	134500	5608.2
19000	134550	13254.556
12000	134600	3855.7144
20000	134650	34445.6
15000	134700	2077.3
18000	134750	3251.1667
18000	134800	7921.75
13000	134850	11359.333
19000	134900	9085.571
17000	134950	13854.637
19000	135000	4093.2
15000	135050	13587.182
16000	135100	4821
11000	135150	738.3333
11000	135200	25175.166
11000	135250	5698.8335
15000	135300	10068
11000	135350	3224
13000	135400	5723.3076
19000	135450	4485.727
12000	135500	16904.334
13000	135550	4767.8
14000	135600	16313.462
17000	135650	13424.3
14000	135700	5791.9165
20000	135750	26524.715
13000	135800	7114.222
16000	135850	16257.8
14000	135900	2908.5
16000	135950	14766.857
12000	136000	2709.3
11000	136050	2789.3845
10000	136100	2542.7778
15000	136150	26050.555
19000	136200	12368.25
14000	136250	16795.727
16000	136300	8262.637
12000	136350	3259.2
18000	136400	8647.167
15000	136450	14291.25
20000	136500	7769.769
14000	136550	18722.111
13000	136600	8568.875
20000	136650	1347.6666
17000	136700	6090.0713
11000	136750	6236.2354
20000	136800	1764.3
11000	136850	4920.25
12000	136900	10968
19000	136950	19032.166
15000	137000	29321.445
13000	137050	19794.25
17000	137100	3244.375
18000	137150	8062.3
15000	137200	7483.5
12000	137250	10262
14000	137300	9157.667
18000	137350	12448.75
15000	137400	5793
18000	137450	9752.223
18000	137500	2654.8572
20000	137550	5433
12000	137600	21662.6
17000	137650	55972.184
17000	137700	10867.167
15000	137750	18811.715
19000	137800	3054.4546
14000	137850	7312.6875
18000	137900	8945
13000	137950	18237.2
16000	138000	17471.111
14000	138050	1004.1667
14000	138100	1064.3334
15000	138150	57045.75
11000	138200	7033.7144
19000	138250	3699.9092
17000	138300	4680.8
12000	138350	29107.584
12000	138400	7209.7144
14000	138450	4401.222
12000	138500	2820.1
18000	138550	17863
10000	138600	4984.1665
15000	138650	7817.909
11000	138700	33113.082
